,name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
95,1821,6,0,1981,1385,7.2,131000.0,1374,2104,1542,55,6000000.0,25244626.0,74,99.0
96,5806,2,10,1981,62,7.5,192000.0,2480,3823,329,55,350000.0,2956630.0,1958,85.0
97,4317,6,4,1981,2031,6.2,40000.0,282,461,534,6,2500000.0,111289673.0,264,94.0
98,841,6,5,1981,1532,7.4,47000.0,318,520,1318,55,18000000.0,12000000.0,1074,108.0
99,1207,4,0,1981,1696,6.9,42000.0,712,418,1576,54,15000000.0,41092328.0,629,118.0
100,1860,6,1,1981,16,7.4,59000.0,1367,4197,2003,54,11000000.0,34971136.0,673,140.0
101,3402,6,0,1981,2354,7.6,170000.0,966,4168,1826,2,3000000.0,23668369.0,1418,96.0
102,1453,-1,1,1981,897,8.3,237000.0,2910,4493,1410,57,,11487676.0,358,149.0
103,5226,6,4,1981,1826,6.9,68000.0,1117,2572,254,55,10000000.0,85297000.0,731,106.0
104,4323,6,6,1981,3006,7.4,27000.0,129,220,1036,14,,1113538.0,1146,124.0
105,5636,4,0,1981,1753,6.2,34000.0,1041,549,342,55,18000000.0,72179579.0,1176,95.0
106,6825,6,0,1981,2108,7.4,27000.0,1921,1384,1074,55,5500000.0,11492915.0,1596,123.0
107,1792,6,6,1981,1457,4.9,7600.0,870,3875,327,55,,32492674.0,1869,116.0
108,6884,4,1,1981,2762,7.0,60000.0,2719,2989,2386,54,5000000.0,42368025.0,1238,110.0
109,5875,4,4,1981,2362,6.8,4200.0,39,66,38,55,,50427646.0,2281,107.0
110,2110,6,10,1981,2225,6.1,61000.0,2639,3733,241,55,1250000.0,21722776.0,1155,87.0
111,4733,6,10,1981,1170,6.8,51000.0,612,950,1189,6,,14225876.0,556,103.0
112,2053,4,0,1981,1826,6.7,94000.0,1393,3545,2268,54,28000000.0,54813222.0,965,127.0
113,2358,6,10,1981,3031,6.5,77000.0,2325,2104,1106,55,2500000.0,25533818.0,861,92.0
114,5378,4,6,1981,774,6.8,17000.0,1052,916,883,55,14000000.0,35856053.0,1582,126.0
115,4504,4,3,1981,774,7.3,21000.0,2866,4406,2740,55,32000000.0,40382659.0,351,195.0
116,4029,4,6,1981,917,7.6,29000.0,1810,1315,1441,55,,119285432.0,1304,109.0
117,5879,1,2,1981,1385,7.3,87000.0,726,883,1901,55,12000000.0,63456988.0,2315,83.0
118,1130,4,3,1981,273,7.2,56000.0,1094,790,223,54,5500000.0,59303359.0,956,125.0
119,241,4,6,1981,687,6.9,12000.0,2686,2497,2090,55,12000000.0,40716963.0,731,116.0
